Nazwa,Rok,Szpitale,Pielegniarki_Polozne,Lekarze,Apteki,Punkty_apteczne,Osoby_swiadczenia_spoleczne,Placowki_ambulatoryjne,Ludnosc,Lozka
Małopolskie,2012,75.0,20018.0,17463.0,1112.0,128.0,171553.0,1647.0,3354077.0,14952.0
Małopolskie,2013,84.0,20338.0,18261.0,1103.0,139.0,178211.0,1699.0,3360581.0,14868.0
Małopolskie,2014,85.0,21865.0,19858.0,1131.0,145.0,174605.0,1743.0,3368336.0,14976.0
Małopolskie,2015,81.0,21465.0,20470.0,1140.0,139.0,170252.0,1817.0,3372618.0,14861.0
Małopolskie,2016,90.0,22010.0,21714.0,1139.0,142.0,155887.0,1889.0,3382260.0,14919.0
Małopolskie,2017,87.0,23216.0,22747.0,1157.0,135.0,152179.0,1915.0,3391380.0,14988.0
Małopolskie,2018,88.0,23897.0,23376.0,1117.0,128.0,145635.0,1976.0,3400577.0,14853.0
Małopolskie,2019,73.0,24088.0,23688.0,1062.0,123.0,138691.0,1924.0,3410901.0,13750.0
Małopolskie,2020,72.0,24227.0,23864.0,1046.0,121.0,133970.0,1966.0,3432692.0,13540.0
Małopolskie,2021,73.0,26918.0,14224.0,1024.0,118.0,117001.0,2034.0,3430370.0,13819.0
Małopolskie,2022,72.0,20097.0,13223.0,1016.0,120.0,107065.0,2076.0,3429014.0,13590.0
Małopolskie,2023,69.0,21421.0,16441.0,999.0,117.0,102065.0,2165.0,3429632.0,13416.0
Małopolskie,2024,74.0,21940.0,16974.0,989.0,116.0,92630.0,2212.0,3429084.0,13429.0
Mazowieckie,2009,93.0,31527.0,29155.0,1357.0,139.0,302562.0,1940.0,5222167.0,24110.0
Mazowieckie,2010,98.0,30118.0,28219.0,1485.0,149.0,302362.0,1990.0,5267072.0,24186.0
Mazowieckie,2011,106.0,32110.0,29989.0,1495.0,144.0,294547.0,2456.0,5285604.0,24353.0
Mazowieckie,2012,115.0,34667.0,32371.0,1585.0,146.0,277478.0,2497.0,5301760.0,26259.0
Mazowieckie,2013,120.0,34365.0,32596.0,1648.0,154.0,286208.0,2544.0,5316840.0,26525.0
Mazowieckie,2014,120.0,35606.0,36365.0,1699.0,146.0,275109.0,2623.0,5334511.0,26147.0
Mazowieckie,2015,112.0,35029.0,36746.0,1738.0,144.0,264664.0,2741.0,5349114.0,25929.0
Mazowieckie,2016,108.0,35157.0,38272.0,1778.0,140.0,244306.0,2885.0,5365898.0,26240.0
Mazowieckie,2017,118.0,36195.0,38625.0,1795.0,143.0,223366.0,3028.0,5384617.0,26049.0
Mazowieckie,2018,121.0,37875.0,41626.0,1738.0,143.0,206321.0,3046.0,5403412.0,25770.0
Mazowieckie,2019,112.0,39092.0,43465.0,1682.0,136.0,192733.0,3096.0,5423168.0,24028.0
Mazowieckie,2020,118.0,39185.0,43673.0,1637.0,134.0,183173.0,3097.0,5517616.0,24294.0
