Nazwa,Rok,Szpitale,Pielegniarki_Polozne,Lekarze,Apteki,Punkty_apteczne,Osoby_swiadczenia_spoleczne,Placowki_ambulatoryjne,Ludnosc,Lozka,lekarze_na_10tys,pielegniarki_polozne_na_10tys,apteki_na_10tys,punkty_apteczne_na_10tys,apteki_i_punkty_na_10tys,szpitale_na_10tys,lozka_na_10tys,placowki_ambulatoryjne_na_10tys,mieszkancow_na_apteke,lekarze_na_10tys_norm,pielegniarki_polozne_na_10tys_norm,apteki_i_punkty_na_10tys_norm,szpitale_na_10tys_norm,lozka_na_10tys_norm,placowki_ambulatoryjne_na_10tys_norm,indeks_dostepnosci,miejsce_w_rankingu
Lubuskie,2015,26.0,5651.0,4329.0,316.0,51.0,85187.0,551.0,1018075.0,4402.0,42.52,55.51,3.1,0.5,3.6,0.26,43.24,5.41,3221.76,0.31705989110707805,0.2218655589123867,0.5875000000000001,0.5500000000000002,0.42018875666803457,0.5092165898617511,0.434,13
Wielkopolskie,2015,65.0,15949.0,12705.0,1234.0,123.0,187377.0,1851.0,3475323.0,15756.0,36.56,45.89,3.55,0.35,3.9,0.19,45.34,5.33,2816.31,0.2088929219600726,0.040219033232628446,0.775,0.20000000000000007,0.5063602790315964,0.49078341013824883,0.37,14
Kujawsko-Pomorskie,2015,43.0,11941.0,10229.0,607.0,87.0,200645.0,818.0,2086210.0,9846.0,49.03,57.24,2.91,0.42,3.33,0.21,47.2,3.92,3436.92,0.4352087114337567,0.25453172205438074,0.41875000000000007,0.3,0.5826836274107511,0.16589861751152069,0.36,15
Pomorskie,2015,54.0,11636.0,11720.0,728.0,48.0,147761.0,949.0,2307710.0,9506.0,50.79,50.42,3.15,0.21,3.36,0.23,41.19,4.11,3169.93,0.4671506352087113,0.12575528700906352,0.43749999999999994,0.40000000000000013,0.3360689372178908,0.20967741935483875,0.329,16
Śląskie,2016,155.0,31553.0,28832.0,1508.0,106.0,214286.0,2873.0,4559164.0,25418.0,63.24,69.21,3.31,0.23,3.54,0.34,55.75,6.3,3023.32,0.6931034482758619,0.4805513595166162,0.55,0.9500000000000002,0.9335248256052524,0.7142857142857142,0.72,1
Łódzkie,2016,67.0,14284.0,16371.0,935.0,96.0,153471.0,1619.0,2485323.0,12777.0,65.87,57.47,3.76,0.39,4.15,0.27,51.41,6.51,2658.1,0.7408348457350272,0.2588746223564955,0.9312500000000004,0.6000000000000002,0.755437012720558,0.7626728110599078,0.675,2
Podlaskie,2016,37.0,7611.0,6303.0,406.0,59.0,85773.0,765.0,1186625.0,6025.0,53.12,64.14,3.42,0.5,3.92,0.31,50.77,6.45,2922.72,0.5094373865698728,0.38481873111782483,0.7875000000000001,0.8,0.7291752154288061,0.7488479262672811,0.66,3
Lubelskie,2016,55.0,14123.0,12677.0,833.0,58.0,123154.0,1227.0,2133340.0,11256.0,59.42,66.2,3.9,0.27,4.18,0.26,52.76,5.75,2561.03,0.6237749546279492,0.42371601208459225,0.95,0.5500000000000002,0.8108329913828478,0.5875576036866359,0.658,4
Dolnośląskie,2016,82.0,17010.0,15967.0,1063.0,72.0,137867.0,1515.0,2903710.0,14899.0,54.99,58.58,3.66,0.25,3.91,0.28,51.31,5.22,2731.62,0.5433756805807622,0.27983383685800606,0.7812500000000002,0.6500000000000002,0.751333606893722,0.4654377880184331,0.579,5
Małopolskie,2016,90.0,22010.0,21714.0,1139.0,142.0,155887.0,1889.0,3382260.0,14919.0,64.2,65.07,3.37,0.42,3.79,0.27,44.11,5.59,2969.5,0.7105263157894737,0.40237915407854974,0.70625,0.6000000000000002,0.45588838736151005,0.5506912442396312,0.571,6
